Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
20,-50.62499628283159,-15.89193091333686
44.9,-47.99603730388013,-34.50578469825204
69.8,-44.98041174611856,-52.80015640578173
94.7,-42.7668370500835,-75.13934258634677
119.6,-41.04213719549649,-92.40855704800086
144.5,-40.25824049365024,-112.8962239931381
169.4,-40.84573046143451,-133.3609944009901
194.3,-44.30762487377674,-152.5190913235894
219.2,-53.33964291598505,-162.9845497971678
244.1,-46.76591733728519,-13.7446591879734
269,-39.14427611357848,-27.3430021736692
293.9,-33.91285565360661,-47.24985805010924
318.8,-30.96218040046135,-65.27163472071558
343.7,-29.50208469015844,-84.67955316089555
368.6,-28.54310875597609,-104.8917061258333
393.5,-29.02320565449014,-124.8001933258728
418.4,-31.43100406272292,-143.5982276448261
443.3,-39.03502421318112,-165.5531871231416
468.2,-38.32334991584884,-0.1044373346154828
493.1,-26.94176710492306,-19.74011889740864
518,-21.34070290112696,-40.17519936563068
542.9,-17.57742179898073,-61.83554119822708
567.8,-14.09749734524121,-77.72292960912517
592.7,-11.8712252084206,-98.34861271056648
617.6,-9.120401696149722,-116.9927792674339
642.5,-7.520827234449828,-136.5444924960659
667.4,-6.025090958524184,-154.7475914331821
692.3,-4.193355189540372,-171.8171272510801
717.2,-3.289346361687147,168.0575108926902
742.1,-2.547928800387349,147.2603851122735
767,-1.576172205204663,127.4214150684253
791.9,-1.078128298067387,111.0134489701213
816.8,-0.8891661058125182,91.96175289204572
841.7,-0.1418136457499582,70.63846981967943
866.6,-0.3917651849036912,51.21387323725995
891.5,0.3405820469598586,34.1422476158364
916.4,-0.6025554285295002,13.10739558609309
941.3,0.1802747470272561,-5.85012569087828
966.2,-0.1598302742577815,-25.61141882354623
991.1,-0.1856780439868683,-43.38233751135519
1016,-0.7663819692650188,-64.43649204912836
1040.9,-0.3584587915318465,-80.50602766752419
1065.8,-0.658562306198059,-102.5310684538757
1090.7,-0.8221564874400125,-123.1560359102555
1115.6,-1.106488993878236,-140.4007578819947
1140.5,-1.082394446982183,-159.1359652206132
1165.4,-0.9242418042822989,-179.9732265576138
1190.3,-1.150802932633019,164.9674174423392
1215.2,-1.36445743737998,140.3333178720877
1240.1,-0.6988697616312907,125.00844123738
1265,-1.011815245931466,101.129438834632
1289.9,-0.5805411848888129,85.29769874532684
1314.8,-0.4506912655510843,64.70356780386213
1339.7,-1.133302669373448,41.4666779347239
1364.6,-0.5122961695237886,27.14941872556176
1389.5,-0.8113091506163156,7.255705443371085
1414.4,-0.6794940420514249,-16.03893412809063
1439.3,0.482386891962604,-27.43156774113815
1464.2,0.009877735377943148,-51.59272855713709
1489.1,-0.6339548178062122,-66.22136604878141
1514,-0.3767827731480077,-93.39446602908322
1538.9,-0.4491361912323089,-109.1611653302754
1563.8,-1.093123515069666,-125.8187290835022
1588.7,-1.326825985834769,-148.8083098777251
1613.6,-2.630173483946875,-165.4674713384574
1638.5,-1.891634992299497,176.3534060783544
1663.4,-3.419007751740357,156.8321253472925
1688.3,-3.400192527063293,136.9066161956438
1713.2,-4.865320306512658,120.7767712909554
1738.1,-5.503500693650483,101.571346554742
1763,-7.362842235863551,82.92828418479817
1787.9,-9.423680696451703,59.58857027253015
1812.8,-11.37585953491952,38.0718115372199
1837.7,-13.51585773885429,24.32523409201862
1862.6,-17.52848401255261,-1.195510264699834
1887.5,-21.91980639748652,-12.59861811740063
1912.4,-30.34100399311196,-17.72261288911881
1937.3,-46.49303620873594,-54.73777505767568
1962.2,-33.27164145657922,117.9757297206338
1987.1,-27.07061578315276,91.6759764905718
2012,-26.18387935351995,66.9061641332051
2036.9,-25.19330856654197,49.331938580203
2061.8,-25.91804649311434,35.16919911646227
2086.7,-25.75139456420803,10.08308519366383
2111.6,-30.03404503200673,-4.984122169724998
2136.5,-33.72053006594,-29.21832581871064
2161.4,-42.9196677855158,-34.20131085567974
2186.3,-42.24708310699752,127.5259695982501
2211.2,-32.9625212977814,92.14300304177549
2236.1,-30.94462226435255,75.24586467887282
2261,-29.17383478080232,55.46358065696389
2285.9,-29.0704841082146,39.59405593728803
2310.8,-30.0606968741711,19.38472705257648
2335.7,-31.64982151409,-2.872474524561682
2360.6,-33.32219739412301,-15.58751182688282
2385.5,-38.70445596247193,-47.03848719443147
2410.4,-51.12049324072473,-85.30268466116763
2435.3,-46.55325026153258,111.4460110838849
2460.2,-36.26431892083116,87.62854301620666
2485.1,-33.12403904322642,62.58902676353738
2510,-32.54643037457045,43.57040103428663
2534.9,-31.48292665218023,27.80004648514293
2559.8,-33.10406924646887,8.201938116586092
2584.7,-33.66782489191704,-18.14956557122983
2609.6,-37.65758299389164,-23.79005093824773
2634.5,-40.57423766424599,-49.50710754736551
2659.4,-59.8237211674507,-101.4330502272178
2684.3,-44.79725618780314,95.09375817391339
2709.2,-38.4082298723203,64.42000439416896
2734.1,-35.12585400186626,50.26915868662301
2759,-33.36899785191702,28.5163015526261
2783.9,-33.28324611690837,11.8503759349659
2808.8,-34.12059050657726,-4.067045635269608
2833.7,-35.12053209731719,-24.49387044900541
2858.6,-38.47900630239481,-49.50934725983177
2883.5,-45.76760594483154,-67.38144901151092
2908.4,-57.09765467850899,-72.39150977638516
2933.3,-43.62435677768418,80.85507956632254
2958.2,-38.31181769236557,60.86439036319493
2983.1,-36.06192360432269,38.51155236920278
3008,-34.85749043890372,16.40193440406169
3032.9,-35.12476317394781,2.730067117381466
3057.8,-35.65382138697759,-20.07458995277209
3082.7,-37.32422648499036,-35.5064226235875
3107.6,-40.63458830691251,-58.68346242768504
3132.5,-46.39494648149014,-89.41283242953723
3157.4,-52.02545159056115,158.7791178557274
3182.3,-48.16315321902362,54.08833399406797
3207.2,-41.52412578541265,49.51605569422406
3232.1,-37.43571005530531,29.80007776763277
3257,-38.14454308695187,5.471862103116621
3281.9,-37.25197741703032,-10.54364126581265
3306.8,-36.86200967532655,-26.71816867025538
3331.7,-38.28849974308089,-49.32879316125787
3356.6,-43.97951344243648,-58.20894742480084
3381.5,-45.96082976422602,-76.40342068949342
3406.4,-57.95021767476715,0.4634593640397959
3431.3,-44.19046495645453,60.95297872939926
3456.2,-40.70891324161261,32.41086038207675
3481.1,-39.13880959523483,15.63335503899509
3506,-37.06680521650175,-6.442936406093963
3530.9,-36.69585900893428,-23.36781989397802
3555.8,-37.5044432034835,-43.27249593367134
3580.7,-40.00565540082398,-64.592731525153
3605.6,-44.2235584262746,-88.48912287078832
3630.5,-48.20769396818272,-106.9361040904171
3655.4,-57.87375897944517,104.1623871579044
3680.3,-46.39770680706803,52.08300882093334
3705.2,-42.01124085043681,27.49800056078361
3730.1,-38.42142017622413,3.641683752571424
3755,-38.07413687755795,-14.55739720522378
3779.9,-38.87311781869662,-39.28487049680173
3804.8,-39.51142199684762,-54.48617485544193
3829.7,-42.91955884598332,-80.06936881235652
3854.6,-44.25661161905175,-93.43248164425142
3879.5,-54.67759247144638,-115.7773996174566
3904.4,-57.25013012829513,68.03794655186088
3929.3,-46.72495089601603,38.39420541736956
3954.2,-42.97387206692478,14.66409189960373
3979.1,-40.85188843579423,-17.69062480150244
4004,-37.67745574683525,-30.53350950013335
4028.9,-38.32110565794271,-49.70072203296473
4053.8,-38.43566200817019,-70.93224422174455
4078.7,-41.30051327719649,-90.36092907851764
4103.6,-46.78554501651179,-81.25102089521347
4128.5,-64.01550769040141,-110.0803172680764
4153.4,-53.58557812699641,13.61348789380357
4178.3,-43.16194508780144,28.84883083324635
4203.2,-42.62064861803032,4.608514649817351
4228.1,-39.935819570437,-23.115124140497
4253,-40.40949162677862,-41.99524990508672
4277.9,-38.06095245345421,-61.6583325227557
4302.8,-39.16952732376865,-68.84240028319833
4327.7,-43.94674778439682,-98.08130005867528
4352.6,-47.10853943320394,-126.9484109803037
4377.5,-51.31339451209976,-142.3135740854152
4402.4,-53.96095411641604,54.4528894229032
4427.3,-45.51457233015575,17.43756348610137
4452.2,-41.26727055017164,-16.32854681279878
4477.1,-39.80796356979256,-38.55594716061262
4502,-39.21580434067157,-41.28603250120777
4526.9,-41.75736570949998,-70.36982092524794
4551.8,-41.21871143552048,-85.68521348043885
4576.7,-44.69642324464603,-107.5965307727632
4601.6,-48.72448593485539,-131.3000592892437
4626.5,-55.57483770312901,-81.59576488816484
4651.4,-52.87322916035788,21.67575035768567
4676.3,-45.37799556527947,-14.8289581847977
4701.2,-43.54064373292104,-20.6905814504163
4726.1,-40.74588845800286,-50.25176274488085
4751,-40.29677963411221,-61.62861201372149
4775.9,-39.98846922369277,-71.79570883289762
4800.8,-43.68892268734199,-106.7754581550747
4825.7,-45.42584272845109,-107.9734460224918
4850.6,-50.48928943026419,-123.737700675879
4875.5,-57.40514995028509,-116.5741058123165
4900.4,-54.55589582837433,50.55322965168602
4925.3,-47.7690955965581,28.45273071775517
4950.2,-45.7061109471946,-103.7607256862801
4975.1,-37.47807938200396,-34.93739555076442
5000,-34.86148090705409,-87.37300660204039
