Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
100,-39.0765705865901,83.23041601031503
104.9,-38.65683439204879,84.94475777558412
109.8,-38.18557878087133,84.92066861649302
114.7,-37.69759266988552,83.66350857059714
119.6,-37.252516956315,83.71682816537793
124.5,-36.88205238218242,82.07452878104429
129.4,-37.02990884987098,81.66765291307776
134.3,-36.55236796406757,81.9873820706087
139.2,-36.26559410383448,81.54515166585369
144.1,-35.47231373726019,81.70660321979707
149,-35.56149528511965,82.13899330408907
153.9,-35.13709194037803,80.31816651004368
158.8,-34.88306610065725,80.71390716949594
163.7,-34.46003901818073,81.40375662728755
168.6,-34.29751040472358,81.52422886368535
173.5,-34.27467917778434,80.48509145376642
178.4,-33.77932206740591,79.70878139655596
183.3,-33.5843917139707,78.68886712000524
188.2,-33.26894265374381,79.02509129546388
193.1,-32.67571054938919,78.18191543737659
198,-32.7095758436638,77.68021417221605
202.9,-32.59395503694837,76.94901002654835
207.8,-32.54034178337715,77.09577662171256
212.7,-32.19407588530002,76.82314834157067
217.6,-31.7745760246569,76.96811463076834
222.5,-31.46978395373555,76.04336858723445
227.4,-31.67828674798449,77.97690017614218
232.3,-31.07826979780669,77.41863521070697
237.2,-30.95922196624496,75.84001867397336
242.1,-30.74538934235175,75.4236524622283
247,-30.6365862055538,73.76790973838396
251.9,-30.55486048288918,75.67973518277209
256.8,-30.35478964613161,75.09427518909922
261.7,-30.0377538330873,74.65590810186079
266.6,-29.91560644408759,73.41169362922524
271.5,-29.88255915440991,73.39994142185338
276.4,-29.68406252294222,73.79472398638455
281.3,-29.56838336712374,73.32043604742563
286.2,-29.51705973518025,72.68561475900306
291.1,-28.87651521866768,71.54031108662409
296,-28.71696460931148,72.43867413297895
300.9,-28.7107670309983,71.26513972488783
305.8,-28.38069069556056,71.02331405934406
310.7,-28.18830646450656,69.784601367265
315.6,-28.05834168456801,72.23142908302015
320.5,-27.79318484589505,70.04979402993511
325.4,-27.61600545048809,69.6555428104096
330.3,-27.52288627509322,70.11910489564387
335.2,-27.54352629371394,70.68351869877715
340.1,-27.52917245556768,70.89585563847493
345,-27.09077511312453,69.31093956498376
349.9,-26.80505797378598,69.24461796438126
354.8,-26.73234312424459,68.38656397826348
359.7,-26.41155117551578,68.54332398471539
364.6,-26.42268104680291,69.8880175234514
369.5,-26.37111796850845,67.84070490437963
374.4,-26.12149972621552,65.9061488233087
379.3,-26.00271227192224,65.63291734745167
384.2,-25.89298990962817,66.70305475756886
389.1,-25.70036194028417,64.32208891848757
394,-25.73273245731904,64.37920394841061
398.9,-25.49669475717916,64.44884168868111
403.8,-25.29679980864987,65.35240503721428
408.7,-25.04440105601136,65.39274780845308
413.6,-24.77025206427984,62.26670085755761
418.5,-24.76081366952347,63.41603144410779
423.4,-24.73210061535434,64.25433844391843
428.3,-24.76528360893542,62.88218943380183
433.2,-24.35910824481367,62.55431670396747
438.1,-24.25162288192996,61.6073043301825
443,-24.20590959178093,61.40893837855302
447.9,-23.80666456059258,62.25446840152414
452.8,-23.89698914538654,60.61467897412547
457.7,-23.36824949431607,60.21447892988329
462.6,-23.46529535947705,59.53229186945863
467.5,-23.21096693529225,62.99880212159253
472.4,-23.08902086669739,60.03962569847221
477.3,-23.50982192098093,59.54655777454644
482.2,-22.78903191190639,57.95225461759728
487.1,-22.83968565707905,59.70615483872245
492,-22.77914113870794,57.53763321848562
496.9,-22.68550684246674,56.66590348555567
501.8,-22.14404794712962,57.82741987665725
506.7,-22.35333516760527,58.3970809725613
511.6,-22.02702410777783,58.0233689132854
516.5,-21.92620104738543,56.65413709316579
521.4,-22.01766973705753,55.21521582689331
526.3000000000001,-21.78693636081835,55.67177147285994
531.2,-21.4886311965853,56.93536908727924
536.1,-21.48837732908784,54.61158767748752
541,-21.43813470610197,54.54825371105225
545.9,-20.82580215629542,56.54662820871374
550.8000000000001,-20.75732263749039,56.18171901137725
555.7,-20.98550777477447,52.05908674028762
560.6,-20.90335394302389,52.0033354159637
565.5,-20.83712760308702,53.65208485666609
570.4,-20.54225360342041,52.34177120990977
575.3000000000001,-20.24618170711617,52.54124385991518
580.2,-19.9865630001989,52.85743383028169
585.1,-19.99625678810127,52.91918448627719
590,-19.64334684271561,51.39015130388697
594.9,-19.78468168344565,51.87091926806571
599.8000000000001,-19.24832988475375,48.3883583268376
604.7,-19.20764055270865,49.76580947990882
609.6,-19.33030624578722,49.20413875712951
614.5,-18.98013525090704,49.95727480365065
619.4,-18.70814642960999,49.65184619442259
624.3,-18.53439234733585,49.22140125521275
629.2,-18.63495059448583,48.57530735727357
634.1,-18.7424640140537,48.65329199128034
639,-17.91269526582393,46.76867068051126
643.9,-18.05391292787437,45.90906357029471
648.8,-18.21733504798561,44.92616852057915
653.7,-17.61442821199731,45.15409253461131
658.6,-17.58942694660605,46.60753521497624
663.5,-17.52783965065072,45.47318803874018
668.4,-17.19853981567689,44.14837889600494
673.3,-17.28810083535701,44.60614812300931
678.2,-17.19568504546999,43.81833170575649
683.1,-16.50918720100391,41.5233857654079
688,-16.52065548359916,43.33197845613566
692.9,-16.50423293827467,39.62198534608343
697.8,-16.10238942796922,40.82526113347903
702.7,-16.34372024288093,41.54254973866404
707.6,-16.01672357630728,39.79280321817836
712.5,-15.8538458218449,38.69954916740208
717.4,-15.50440317168776,39.15959098256595
722.3,-15.62161172819472,36.7134196888976
727.2,-15.71335271630397,39.80239118908851
732.1,-15.15475488903973,36.81210427787619
737,-14.93847605346334,36.45629697874181
741.9,-14.88452405988661,37.30224939761381
746.8,-14.80605195859525,37.66553015245755
751.7,-14.47908792781066,36.52786762629714
756.6,-14.35161981885742,37.39125797411829
761.5,-14.1643956276988,33.08245181378182
766.4,-14.06725975979123,32.13710375824093
771.3,-13.89776363072698,33.20030892756721
776.2,-13.56385590337656,32.20163193704795
781.1,-13.25061438025408,32.26169922210829
786,-12.88935752844909,31.52780090392228
790.9,-13.09159061269526,29.21380492464144
