Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
20,-0.5382425140144862,-19.97874998702514
44.9,-0.5323757685384204,-44.4399004678237
69.8,-0.4042160363648015,-69.31801171973288
94.7,-0.4379742004338602,-94.02269313598828
119.6,-0.1851146593231405,-118.5339909115822
144.5,-0.4368874594566702,-143.3499221997428
169.4,-0.378986241817105,-166.9653993964124
194.3,-0.7396647224154383,169.2190599828836
219.2,-1.026033070929492,144.5562582131703
244.1,-1.485943872561175,118.3422808094144
269,-2.353282003138866,95.42090439103788
293.9,-3.221476303596062,70.45396314188338
318.8,-4.480893899457434,45.79261268568953
343.7,-6.253806719066723,19.70030230681721
368.6,-8.023739888232392,-3.625504706324426
393.5,-10.16709047875247,-29.40959428339201
418.4,-13.35321936817239,-53.90344394082678
443.3,-16.99840933602662,-78.33855829277124
468.2,-21.40614454809951,-101.7428415329852
493.1,-29.59415455446852,-124.9924235434448
518,-65.32698414017452,-13.12348876463994
542.9,-33.01188327703484,3.04117352742297
567.8,-29.88538844248144,-19.51850487772333
592.7,-30.0089069874901,-43.34331847018473
617.6,-32.0145760391833,-72.30842966421767
642.5,-37.37745009067241,-93.53626888872353
667.4,-53.9866579076508,-111.1240042252252
692.3,-41.11549294943107,37.09988103269359
717.2,-34.02630701619223,9.475552602362498
742.1,-32.26767077619059,-18.25847813868273
767,-31.77345117265338,-33.31753914682643
791.9,-33.42679742271365,-61.11584153560324
816.8,-35.89158256241485,-90.45486896819489
841.7,-45.90318412415294,-116.7298574592152
866.6,-46.48838739231798,44.35090955721094
891.5,-35.95910451024744,19.48925115397114
916.4,-31.6474781577858,-6.531784347014437
941.3,-29.8670062744211,-28.97355853370242
966.2,-29.914910542006,-53.80841656158528
991.1,-31.60606114442031,-77.91662633580768
1016,-40.33770439903972,-115.0520442283612
1040.9,-34.87382578516851,48.8181984540184
1065.8,-24.18546404102991,21.86222970365745
1090.7,-19.04354349419285,-2.612397030427047
1115.6,-15.1806856232579,-21.78614102635751
1140.5,-12.22200022911237,-46.28998784228739
1165.4,-9.330264024708143,-68.14174271365785
1190.3,-7.207476794146328,-93.22875120637119
1215.2,-6.194238348414519,-120.4391275662207
1240.1,-4.156063123194028,-146.6566770730134
1265,-3.207479701628131,-168.701107876251
1289.9,-2.036504891044814,166.8780197216154
1314.8,-1.408995338182311,144.6634329722725
1339.7,-0.6348859552378129,114.0446614796576
1364.6,-1.001278552074492,89.87089792883273
1389.5,-0.5717106305261437,66.42978054725604
1414.4,-0.1187294521464099,41.10463342465905
1439.3,-0.03107250331750498,19.80898864967553
1464.2,-0.2696978233355168,-9.003421438581299
1489.1,-1.462330605866497,-29.51725288693688
1514,-0.8763286571355129,-56.98206857778661
1538.9,-0.3699519158175952,-80.73479332852546
1563.8,-0.3568622516348131,-107.5385580474549
1588.7,-0.7267193327903276,-130.0670010132066
1613.6,-0.4025709096656024,-154.1171566218668
1638.5,-1.28699242806942,179.4176260501874
1663.4,-1.503504711998075,156.8175867942176
1688.3,-1.00993790403008,133.9991812447627
1713.2,-1.951602899428207,110.4263701922313
1738.1,-0.7110649526056416,84.47022489447093
1763,-0.1610323558273775,59.23998064839309
1787.9,-0.5003574989889814,32.98277490975929
1812.8,-0.8744808973724115,5.533065664005708
1837.7,-1.96870802508639,-17.78296025601171
1862.6,-0.587559923452468,-38.52249964887544
1887.5,-1.80620611895315,-60.55965761910963
1912.4,-1.017425231978478,-88.89034487176042
1937.3,-1.028298190474873,-109.3392602266748
1962.2,-1.136236829783482,-134.3283612027493
1987.1,-1.145043235281442,-159.6557114596072
2012,-1.455710141440528,172.8296442536886
2036.9,-0.7953612196410047,148.6083176741646
2061.8,-1.03413431508747,127.3340970626154
2086.7,-0.7952814324967246,97.4779297632611
2111.6,-0.6614286756720931,72.01517202509724
2136.5,-1.379817539754927,52.20476868297493
2161.4,-2.072490502541218,17.46303072744226
2186.3,-1.400318518591422,0.9507452904081339
2211.2,-1.519415560670993,-21.40025010253382
2236.1,-0.6812532804724294,-47.76049854781914
2261,-0.8239886593374295,-77.39060614643084
2285.9,-0.948359002880158,-99.64669054372325
2310.8,-1.79606146992356,-123.827418529977
2335.7,-1.999549790903162,-147.4686192605707
2360.6,-1.559842850892954,-174.722931288208
2385.5,-1.483527923729366,167.5934788070592
2410.4,-1.478566755696206,140.0968581313489
2435.3,-1.914259303536992,113.8611357199893
2460.2,-1.911904255065257,90.99821986177901
2485.1,-1.39821899517221,62.56121566718738
2510,-0.3169654419180596,39.34358474469539
2534.9,-1.664957467153809,16.94448350832647
2559.8,-0.6101044698797419,-6.671994468903165
2584.7,-2.716586741522175,-35.41678889201006
2609.6,-1.1930341637474,-58.92363601820792
2634.5,-1.973566251766276,-76.44092209997021
2659.4,-1.520436179743071,-103.4637818600787
2684.3,-1.10578109838384,-127.5770406587295
2709.2,-1.684690430840489,-156.8996863418755
2734.1,-1.210247581357189,179.9893848296659
2759,-2.195983966861944,161.1223089037697
2783.9,-1.664013295830281,132.6632561105546
2808.8,-2.041655006620718,102.3713938555619
2833.7,-1.736475243036234,80.0773839896374
2858.6,-1.113063806862717,56.11528113707966
2883.5,-1.589409337826997,33.06765301967403
2908.4,-1.644047397716342,12.69858548569074
2933.3,-1.785124028779989,-18.88872711443814
2958.2,-2.444634824870882,-40.13527582356988
2983.1,-1.806384806799304,-60.0736364121445
3008,-2.411180175979883,-93.4544076181445
3032.9,-1.040776252515387,-109.8703011201692
3057.8,-2.318888995286634,-143.3716716003818
3082.7,-2.449223367467348,-159.6268593752523
3107.6,-1.233326836263033,173.0409430494677
3132.5,-2.236095029402558,150.9185539139034
3157.4,-1.998067614319512,125.0842730622618
3182.3,-2.241866286445485,92.78580296524683
3207.2,-1.478608265283961,72.94454850127535
3232.1,-0.9000674247157054,44.21456159397134
3257,-2.084682578826691,25.59399753349463
3281.9,-1.152741544522549,1.061050910090728
3306.8,-2.52039284475557,-29.81519986231558
3331.7,-2.953213650206612,-46.18671532186353
3356.6,-1.857032380654939,-73.12046764982868
3381.5,-2.497178926206092,-97.59305926837013
3406.4,-0.6737055790777944,-125.6466035065874
3431.3,-2.706144958488197,-144.330713764951
3456.2,-1.898850595091864,-176.2000435622819
3481.1,-1.946743977228529,162.68530521347
3506,-1.913688859316767,139.3187011074987
3530.9,-1.96510407236384,110.1090414168852
3555.8,-2.375626986310012,93.69816889268466
