Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
20,-54.39765259693978,155.0518195309985
44.9,-54.2035451754428,130.758981444535
69.8,-54.61581373998088,113.3043288446741
94.7,-53.05008991829808,85.04181291510122
119.6,-50.98570154495234,68.00577421612655
144.5,-52.71304469686327,48.16908268310798
169.4,-52.09844508376445,27.26961547877517
194.3,-54.12884441774004,12.16748311839874
219.2,-52.04502317534959,0.9412752345578923
244.1,-51.37849435895164,-29.58917260846934
269,-53.29200882157279,-52.26734145485796
293.9,-53.73041695443586,-75.00308376266132
318.8,-52.41127117207746,-116.7470184421857
343.7,-53.97190208785911,-149.2900543846281
368.6,-52.86522908565993,-162.7843145719996
393.5,-51.12695758699583,168.2610841057124
418.4,-49.99915443103102,133.7390380782161
443.3,-47.4670846920764,134.034772046551
468.2,-47.20646217321039,115.3459734285206
493.1,-50.04428220808053,99.20884067781954
518,-48.37517997085471,71.70355770501598
542.9,-49.01257257095941,59.98952507812196
567.8,-48.00267471460241,40.90904006707686
592.7,-49.51883510600341,18.64638559087609
617.6,-52.46005779873228,15.03404724585309
642.5,-54.63892544653923,-25.01304053466044
667.4,-57.2891049100738,-49.81442921764008
692.3,-55.21134512700716,-113.9897190948749
717.2,-52.04114426743621,-161.7912987545083
742.1,-48.57599244207404,-176.1455310956538
767,-45.62047576808756,155.5413752622398
791.9,-45.09976897278978,155.4147676093541
816.8,-43.72199632071695,133.8820628570749
841.7,-44.25005569315162,121.7526281115742
866.6,-42.64987298580547,101.1401148580507
891.5,-45.74077672381571,104.006189646651
916.4,-46.70365394996373,80.37038568731067
941.3,-53.51657752467398,17.54996940561925
966.2,-52.26264682040841,-95.04066524538817
991.1,-43.05831567405981,-112.7526496579067
1016,-37.47745345553739,-131.6150827257185
1040.9,-34.03442491949107,-146.3177354239242
1065.8,-30.82434045450073,-163.6258140165095
1090.7,-28.13789825131354,-172.5423198564251
1115.6,-25.87944919543737,174.9082439142277
1140.5,-23.25989135545421,164.2820549286568
1165.4,-21.80327206984558,150.6068487518606
1190.3,-20.12286932928363,140.5020297396809
1215.2,-18.80392061857785,125.131902694062
1240.1,-17.01506250609765,115.2048621542531
1265,-15.87582021643883,101.1848444264535
1289.9,-14.81337479920326,89.05965251559337
1314.8,-13.53713795172789,79.04813062541379
1339.7,-12.24821598456897,65.52907833228022
1364.6,-11.48943270255281,56.19875406985591
1389.5,-10.65268913920329,41.97692542953587
1414.4,-8.877631790346712,30.83310378019349
1439.3,-8.951188315011031,18.88612208244444
1464.2,-8.198892887833422,9.806873490287407
1489.1,-7.645195085022616,-2.714102374460438
1514,-6.407787561317869,-14.17745593701289
1538.9,-6.033854928398029,-28.07317340686534
1563.8,-4.750812533555571,-39.5925602468841
1588.7,-4.521423334046796,-49.57188715849653
1613.6,-4.55875811112324,-61.78849888566504
1638.5,-4.310855118260948,-73.16738795899312
1663.4,-3.584206980239654,-85.24892405775272
1688.3,-3.24318064713654,-96.56585158403595
1713.2,-2.847354572510779,-108.7875447115798
1738.1,-2.283364793461994,-120.2333174288405
1763,-2.574592065005846,-136.0346055295878
1787.9,-2.395870915529234,-147.5851315872329
1812.8,-2.151183307628929,-157.1975216689591
1837.7,-2.174649755147137,-165.8831567577604
1862.6,-1.404217956369368,-177.6421542759128
1887.5,-1.153267029711912,168.0089763091113
1912.4,-2.231975101638495,157.6008859301087
1937.3,-1.853744347430015,145.4591218783982
1962.2,-0.8688055480574699,127.8505798544783
1987.1,-1.691079893892751,119.1945547575213
2012,-0.757509213980075,106.9470843468315
2036.9,-0.7448738999912989,97.1416351233843
2061.8,-1.210800831507047,79.80839798745392
2086.7,-1.451196465505046,72.44581777558199
2111.6,-1.024099138619782,58.9940633918772
2136.5,-1.153620906331969,46.51253314027928
2161.4,-2.459469279655063,32.41347292986769
2186.3,-0.7824434574075078,21.23467944662343
2211.2,-1.424050785035402,14.08677818491395
2236.1,-1.280287259417283,0.1182389083398476
2261,-1.031513676060992,-10.35895367819371
2285.9,-0.6956045562354787,-25.13378033085569
2310.8,-1.79367518675367,-38.83410362603344
2335.7,-1.897551305045448,-47.41672475933964
2360.6,-1.257842037227876,-63.54068166095277
2385.5,-1.436047646653041,-76.5494742762461
2410.4,-0.9626868707602345,-88.36081902497688
2435.3,-1.277476367275015,-101.1098101437611
2460.2,-1.17269112541705,-111.9889550231587
2485.1,-1.917777205345283,-122.2427248836994
2510,-1.429512424394441,-132.6567824054304
2534.9,-0.7858715785087003,-145.8291090530309
2559.8,-1.430048512094928,-161.0085107343646
2584.7,-1.537483165187254,-169.9042026291785
2609.6,-2.291895542047552,178.2523896449025
2634.5,-1.174651516273607,167.1244792633169
2659.4,-1.177810682943555,155.6921393543027
2684.3,-1.248016242018515,139.2471614058506
2709.2,-2.049711672818183,130.6929857455405
2734.1,-1.874008461917186,122.1597410641041
2759,-1.218344246827473,108.7390662163995
2783.9,-1.503615283771718,95.35762955777163
2808.8,-1.142045050166427,82.97714040858193
2833.7,-1.514975058897022,71.35974265608684
2858.6,-1.750032037881951,56.66390523691166
2883.5,-2.393750247822376,47.46736136707796
2908.4,-1.614526780431808,35.03083056572179
2933.3,-1.602489406759968,18.52208494364187
2958.2,-1.92453869666294,8.188844434290019
2983.1,-2.254814502691389,-1.079646871465261
3008,-1.896278803178791,-14.03083245220185
3032.9,-2.51991150709567,-28.01803005295562
3057.8,-2.048525269079935,-40.74183770046959
3082.7,-2.496224775827924,-54.14366642108014
3107.6,-1.25728968400727,-61.56559099252519
3132.5,-2.655112474768298,-71.05972269819506
3157.4,-1.626645222513573,-86.63146819333718
3182.3,-2.551538984447899,-93.91371400100866
3207.2,-1.973218902263518,-108.5296095823582
3232.1,-2.118554645005084,-118.0703721495407
3257,-1.926680319406291,-136.4897676748244
3281.9,-1.65155872431684,-148.0204738925665
3306.8,-2.388600072313086,-153.4822940979533
3331.7,-3.38942431539856,-165.3052752489345
3356.6,-2.327126309496181,175.5884110467949
3381.5,-1.50855923044626,161.545447490779
3406.4,-2.396110818680175,146.1485776184668
3431.3,-2.86360654478431,146.0041972336327
3456.2,-1.512275120907472,133.876509081872
3481.1,-2.438796687568754,120.9699252127325
3506,-2.601380444100283,108.6398686562092
3530.9,-2.346076867962167,92.3693395797486
3555.8,-2.193803662545184,78.18420066959008
3580.7,-2.323496036269733,63.48065629366273
3605.6,-1.363854040559649,58.15625072098454
3630.5,-2.782098154074326,46.8835959307231
3655.4,-2.500222199420126,33.05087471440255
3680.3,-3.510297933536468,23.83031666988722
3705.2,-3.165055814817497,12.57689377577374
3730.1,-2.961937158502468,-8.320149597831488
3755,-2.933363037904583,-15.13554656656179
3779.9,-2.67812040219919,-22.10206121281058
3804.8,-1.966699404134653,-36.50143307069432
3829.7,-2.142767814732686,-51.56260485322333
3854.6,-2.778892685699374,-57.63856304204405
3879.5,-2.770058586417063,-78.33424550885917
3904.4,-3.453380899366717,-92.91152659066725
3929.3,-3.545947397948891,-100.6136440974381
3954.2,-2.62323315300191,-114.1933003887158
3979.1,-4.082837761753831,-129.1805827752358
4004,-2.497329058555825,-134.5566116495823
4028.9,-2.954932539320712,-146.1808914000815
4053.8,-3.227676861275239,-155.4760389127937
4078.7,-3.540082345040032,-170.9615650328215
4103.6,-2.980237898386489,176.1384952273137
4128.5,-4.06603842947127,165.5435162297299
4153.4,-3.482324483707747,156.7325029846808
4178.3,-3.578428203895623,136.8048243045327
4203.2,-2.846693849634879,127.8692982186398
4228.1,-3.616755155143335,121.5694111201455
4253,-2.85126834925152,107.4368092186745
4277.9,-3.596286931379467,88.9358499973572
4302.8,-3.317775058301089,70.54931993365165
4327.7,-3.79829835952867,68.1105615698973
4352.6,-3.725660575999211,61.76396571077861
4377.5,-3.611680196589222,47.04492840552913
4402.4,-3.084926275454648,35.04960976806763
4427.3,-4.153687871092769,19.34804221577015
4452.2,-3.396434776148433,9.304780421292577
4477.1,-2.55312919787872,-1.242268943406749
4502,-3.71188755951724,-14.9404086161824
4526.9,-4.189227275269046,-32.96296325342797
4551.8,-3.177156206226447,-38.46723734200542
4576.7,-3.907887328214372,-54.39920508029468
4601.6,-3.293372869482933,-67.5691421747822
4626.5,-3.651523741707843,-79.53920009895634
4651.4,-3.580469539657643,-88.11667067870769
4676.3,-2.754774569493823,-97.22569965876971
4701.2,-4.19391330742271,-110.3912715831327
4726.1,-3.883680401939603,-127.5332004252264
4751,-5.158583708437034,-137.2580534672733
4775.9,-4.269530874256215,-155.9131746738312
4800.8,-4.407736365249218,-160.8045748572511
4825.7,-2.959089616585911,-165.3713776768917
4850.6,-5.798174493986235,-176.9160939765125
4875.5,-6.748939796053389,151.2332788282713
4900.4,-6.060076478483847,-172.1311656547877
4925.3,-12.37160838717109,171.409415708373
4950.2,-10.96930448110921,75.21480099455334
4975.1,-6.414443339569552,170.1565728301291
5000,0.9128158160256,132.8039725981025
