Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
20,-0.184256316849094,-4.095055979553916
44.9,-0.2022390818379796,-10.48218101054134
69.8,-0.1456891761368862,-17.25409076093392
94.7,-0.08438039100996239,-22.04283134016464
119.6,-0.1760729308943912,-26.88909162541877
144.5,-0.2096348675695943,-33.45500383796821
169.4,-0.2065938936884724,-38.29458537559081
194.3,-0.183292255546865,-45.4993502586897
219.2,-0.3613383382714275,-50.6986577366861
244.1,-0.1915498763732902,-57.65559207477718
269,-0.07513495761638112,-61.13786430936354
293.9,-0.1055177191798683,-68.61742657058946
318.8,-0.1919182204276824,-73.40113331515396
343.7,-0.3871195734688288,-80.1932890483957
368.6,-0.3584104885246331,-85.25311117628645
393.5,-0.4082903454005305,-90.01676145616375
418.4,-0.2944249150312691,-97.994200030535
443.3,-0.4540662782175796,-102.5243450859932
468.2,-0.3313193989678687,-107.123353422094
493.1,-0.3760201338185421,-114.9036128038269
518,-0.7348694872863486,-117.6583735750252
542.9,-0.363888277340288,-125.1972607394862
567.8,-0.525869866349167,-129.2217468639119
592.7,-0.5953750122495245,-136.5041513344025
617.6,-0.4952637781633914,-142.8387689685499
642.5,-0.5259714885413679,-149.44922102859
667.4,-0.9094350051778908,-153.5951861391888
692.3,-1.046579430666653,-159.9347637077276
717.2,-1.01680631628919,-165.0419376255795
742.1,-1.002681391830944,-170.8797806500737
767,-1.015208440196092,-178.1423205685314
791.9,-1.377210846553202,178.300036976761
816.8,-1.135740285249214,173.1833876599525
841.7,-1.303726256827067,167.5462643002689
866.6,-1.600432505135431,159.7455055163215
891.5,-1.787190415134839,156.153141811665
916.4,-2.155749092085453,150.3394553550636
941.3,-2.136624883484973,140.1645447489264
966.2,-1.91725043880066,135.5578434052861
991.1,-2.161379392320028,129.728237227355
1016,-2.874480047480379,125.9757911505075
1040.9,-2.812289540107825,118.8720769881913
1065.8,-3.122162734735061,110.8219554550452
1090.7,-3.289372864637945,107.9191649641976
1115.6,-3.402577997245551,101.8648618875985
1140.5,-3.793296467080014,95.06547593315895
1165.4,-3.799627956194294,90.64295777560397
1190.3,-4.575743514000103,85.58060256340673
1215.2,-4.17991084478333,80.68420700212124
1240.1,-4.488740421502143,73.46927463383621
1265,-4.808686516050106,67.33133599632049
1289.9,-5.575395513641719,60.72759643200143
1314.8,-6.051634360883718,56.79771007524657
1339.7,-6.356934833544866,52.45371481984451
1364.6,-7.379625630359103,43.22573927453517
1389.5,-7.183541497030818,37.25969860946653
1414.4,-7.282178259047759,31.31451201405875
1439.3,-8.083733479012441,24.1129502965623
1464.2,-8.656609858422602,24.36063068181618
1489.1,-8.705798792850773,18.11268260718614
1514,-9.819499290765973,7.999068506650616
1538.9,-10.70605463130855,1.988338030670789
1563.8,-11.09910875962875,-0.4567081200711698
1588.7,-12.17546500786026,-8.222134225453036
1613.6,-11.49872096314042,-15.11243014487331
1638.5,-12.89481547469189,-19.74780464012149
1663.4,-13.7010024916846,-25.86662636983139
1688.3,-14.46688615516537,-31.17992757197204
1713.2,-15.98808695995423,-34.95843828459013
1738.1,-16.44191876636226,-42.49880584403155
1763,-18.02256355374405,-48.20591582695144
1787.9,-19.22551699370747,-55.67153055344581
1812.8,-19.54737413454733,-60.11961746653331
1837.7,-21.66475762832944,-64.32859753676502
1862.6,-23.84683136227473,-71.69660268155484
1887.5,-25.59570474689711,-71.04501655163301
1912.4,-27.02795468240126,-83.13302937631329
1937.3,-30.54052758458015,-86.20118933225569
1962.2,-34.3825656728725,-86.55794989849463
1987.1,-43.08325351271612,-100.5306244040137
2012,-48.56618587517174,49.35186881258429
2036.9,-39.58098692263316,70.76000542076525
2061.8,-34.16549370427029,57.64320457902981
2086.7,-31.91071564070912,56.90886195453676
2111.6,-29.24423615463464,52.70039990128953
2136.5,-28.36713745697534,43.95703189211224
2161.4,-27.32748803725931,41.09717690424555
2186.3,-26.39258385135052,35.17402070602544
2211.2,-25.70476880149798,24.58656187920101
2236.1,-25.54368175865539,24.20378327675898
2261,-24.78363426407426,16.02020553870339
2285.9,-24.32432961575075,14.41495731736475
2310.8,-24.53016122253711,7.60158221182968
2335.7,-24.96871281591877,-0.6066013712094787
2360.6,-24.02936923760892,-9.847513411085828
2385.5,-24.59038921444844,-10.45544905270511
2410.4,-25.10041005848299,-21.70656815654361
2435.3,-25.12227291892495,-23.15878992486986
2460.2,-25.75249633785118,-30.59154969334354
2485.1,-26.17464400369524,-35.33550294403607
2510,-26.3697828676782,-41.18832529677604
2534.9,-26.79080959956988,-48.92772264989867
2559.8,-27.73823329677899,-53.17333504558329
2584.7,-28.08749145207238,-57.45138995394336
2609.6,-29.82666218739443,-62.43330678717425
2634.5,-30.9753893866424,-75.66473874946556
2659.4,-31.35543488508229,-74.0614247533816
2684.3,-33.51612131424302,-80.60007026791361
2709.2,-35.84242177092427,-86.09927768548096
2734.1,-37.23890322343998,-95.41159310685924
2759,-41.23514435826476,-104.6455107639761
2783.9,-57.95732445955507,-70.18151745242947
2808.8,-50.49727462353422,132.7687903669856
2833.7,-43.32067750827653,68.36372067597209
2858.6,-39.52958257140173,59.53994471146662
2883.5,-36.49956975899328,57.33630546598437
2908.4,-34.73561418502967,49.78294723256863
2933.3,-32.9024327064858,42.49184258727881
2958.2,-32.45384789734363,39.87383401425816
2983.1,-31.95540592287794,30.08998159085925
3008,-30.38164734475763,24.0221981319188
3032.9,-30.26699148150238,17.63800083665615
3057.8,-29.81071329861237,14.71883759785858
3082.7,-29.75238562234568,5.180837888228268
3107.6,-29.83973347570981,4.91218528051494
3132.5,-29.70438063093043,-6.871057149464306
3157.4,-28.34606062381777,-11.40648618761713
3182.3,-28.53829720454095,-12.65836546057457
3207.2,-28.25300515231298,-22.19557173589259
3232.1,-27.68177244273657,-28.06032603581821
3257,-29.4721393912139,-40.29905616543893
3281.9,-28.70032549783124,-37.56861254610629
3306.8,-28.33851370970418,-40.26742643260621
3331.7,-29.56127434321612,-50.93145372412675
3356.6,-30.20302978507426,-58.53281793866841
3381.5,-30.05558610513602,-64.66419914305277
3406.4,-30.67911969543457,-64.28667066731694
3431.3,-33.07673153674015,-77.39134495201452
3456.2,-33.08183343335228,-79.22933346813247
3481.1,-33.177555941982,-85.33991261176247
3506,-34.81895387635355,-93.67180865235412
3530.9,-36.36639645502507,-98.18988406775493
3555.8,-37.92656044609929,-105.4347759142997
3580.7,-37.96229268071711,-114.9019245310722
3605.6,-41.83490505654125,-112.1226218595015
3630.5,-46.84942896386785,-143.3073580287891
3655.4,-55.96566690459169,-139.6782658783555
3680.3,-58.99742428912889,115.7075250673162
3705.2,-47.40396495940886,65.55444813337439
3730.1,-43.94798903860165,38.07058451364115
3755,-40.74318359090178,22.45221555176354
3779.9,-38.12350222028195,37.31219207212871
3804.8,-36.76230632790804,22.58668263378372
3829.7,-35.8515907391966,14.26057740518352
3854.6,-34.84063488401583,10.6807341739145
3879.5,-34.36796525043784,-3.097347776489329
3904.4,-33.19246778265413,-2.995444037249584
3929.3,-33.28570673944579,-8.713365759685956
3954.2,-31.7550491152162,-17.10046425395923
3979.1,-31.5993721320096,-15.49976745552925
4004,-30.70262030936626,-25.99028070689559
4028.9,-30.38019259127222,-34.74472227623477
4053.8,-30.8785981253244,-38.85337222144683
4078.7,-30.61043879383098,-42.26983280723423
4103.6,-32.28949037452096,-50.74633426961026
4128.5,-31.51341303469172,-53.25829774578892
4153.4,-30.39836537407504,-64.69278505042145
4178.3,-31.747200054674,-69.0966931151454
4203.2,-31.38274110961321,-75.05124100285705
4228.1,-31.57911976834369,-77.02998485975911
4253,-32.45014714918991,-87.94681546807965
4277.9,-33.65481136493625,-91.44588875411745
4302.8,-33.63457444620247,-96.14195864928377
4327.7,-35.94384783028357,-100.0261731248631
4352.6,-35.30721723519063,-105.3268387569053
4377.5,-36.15349816054311,-112.1031414714586
4402.4,-37.42059803907426,-109.2139184708086
4427.3,-39.24120835265771,-123.4793071689183
4452.2,-39.54848367429653,-145.8047756148472
4477.1,-44.33546818645556,-147.0972644492001
4502,-42.24777018103224,-134.7562101501942
4526.9,-58.63650583515425,91.72603718520099
4551.8,-59.71002326028503,-53.52502767013885
4576.7,-52.78146503379282,17.85951738177727
4601.6,-47.22023760499912,22.53140147430828
4626.5,-43.58705351771273,7.93568017180678
4651.4,-43.03022545448001,5.590959022089102
4676.3,-39.58167496758948,-11.50945711934398
4701.2,-37.13425478344087,-6.937977709038595
4726.1,-38.68370030752846,-17.32718904421611
4751,-36.96591164368337,-13.89946364183031
4775.9,-34.9347758701248,-24.92198167405458
4800.8,-34.78620865678221,-42.42961918885879
4825.7,-34.42864493623046,-38.38321381203716
4850.6,-34.40575506803379,-47.65724885692441
4875.5,-32.28061065169309,-36.66714021863527
4900.4,-32.30442360402557,-87.84024740497385
4925.3,-42.50141731430358,-45.07705287259866
4950.2,-39.79943109160443,-21.50642026289118
4975.1,-32.57576585485258,-26.71210048138543
5000,-27.36071771588403,-96.47586930595284
